"factset_entity_id","equity_aum"
"0743C0-E ",196
"06N31F-E ",79
"0CX0GC-E ",945
"0C7RT2-E ",99
"0C7S0W-E ",74
"0G5081-E ",0
"0G4Y6G-E ",14
"0HQVFV-E ",227
"0036XV-E ",394
"002SMR-E ",447
"00D132-E ",5312
"074FYB-E ",10
"0CJCBQ-E ",165
"0CJH2F-E ",11
"0CYNDM-E ",138
"06PK9V-E ",1654
"001TJR-E ",362
"001V32-E ",1
"0HBW1F-E ",981
"0C81PW-E ",124
"0742YD-E ",37
"06T9G9-E ",7
"06Q6MM-E ",1
"0GJQNZ-E ",12
"0CG6LD-E ",89
"05G27J-E ",46
"00D12N-E ",189
"001TLD-E ",1127
"0G64LQ-E ",95
"05VXVK-E ",5
"0GK9D1-E ",5743
"0G5CHG-E ",20
"0090YC-E ",1012
"00D0Q0-E ",64
"00D13C-E ",1323
"00D0QP-E ",0
"00FC8N-E ",1264
"00D1H3-E ",2
"003SP6-E ",784
"06K917-E ",183
"05KB6J-E ",658
"06PMGQ-E ",20423
"004DY7-E ",193
"07L970-E ",14
"004C8W-E ",0
"07L9F9-E ",408
"06WXHZ-E ",1288
"0D8878-E ",5354
"0D8QQB-E ",22064
"0F1HCP-E ",44
"0KMSSS-E ",130
"0KMSQJ-E ",137
"0KMSNB-E ",159
"0HY1P5-E ",3709
"007YC3-E ",1014
"00482K-E ",6625
"05K91T-E ",1735
"05K9CX-E ",2367
"06LVW0-E ",1865
"0FH7T1-E ",599
"0FVDS2-E ",95
"0FBMSY-E ",182
"0FDM05-E ",96
"0DCD5V-E ",73
"003TKW-E ",58
"05W3R7-E ",1491
"004GK6-E ",16
"05W891-E ",306
"0D8YMC-E ",7
"003TB5-E ",7
"05N1ZB-E ",314
"05N0RG-E ",229
"0C1TGG-E ",2
"0GNTLR-E ",0
"0GNRG7-E ",20
"06VBKD-E ",100
"000TRY-E ",5942
"000WX0-E ",36737
"000XTC-E ",930
"05M73Z-E ",104
"05M299-E ",13
"05SYDN-E ",561
"05LYQC-E ",80
"05W6RG-E ",45
"06NCF4-E ",25
"0GX5FJ-E ",0
"0FQXLX-E ",110
"0DL9GK-E ",122
"0DBZQZ-E ",149
"0CWMY3-E ",212
