FactSetEntityId,Style,TurnoverLabel,TotalAUM
002D91-E,Growth,Very Low,30800
002DBD-E,Value,Low,3181
002DC8-E,GARP,Very Low,151
002DDZ-E,,,NULL
002DFH-E,Yield,Very Low,609
002DFS-E,Growth,High,13494
002DGD-E,Yield,,NULL
002DJT-E,Growth,Very Low,NULL
002DKJ-E,,,NULL
002DKP-E,Deep Value,Very Low,874
002DRR-E,Growth,Very Low,227800
002DW3-E,,,20000
002DZN-E,Growth,High,NULL
002F3R-E,,,NULL
002F3S-E,,,NULL
002F4J-E,GARP,Very Low,7845
002F5C-E,,,NULL
002F7R-E,,,NULL
002F9P-E,Growth,Medium,14600
002FGZ-E,Yield,,NULL
002FH8-E,Yield,Very Low,NULL
002FJJ-E,,,NULL
002FL5-E,,,NULL
002FMY-E,,,NULL
002FP3-E,,,NULL
002FPM-E,Yield,Very Low,164
002FPX-E,Value,Low,NULL
002FQB-E,Growth,Very Low,1789
002FRN-E,Growth,Very Low,NULL
002FSK-E,Growth,Very Low,NULL
002FTH-E,Growth,Low,358772
002FV4-E,,,NULL
002FV9-E,,,NULL
002FVQ-E,Growth,Medium,25937
002FVS-E,,,440
002FX3-E,Index,,NULL
002FXW-E,,,NULL
002FYM-E,GARP,Very Low,490
002FYS-E,Index,Very Low,4530139
002FZ2-E,Value,Very Low,1342
002G02-E,,,NULL
002G05-E,,,9900
002G17-E,,,NULL
002G23-E,,,NULL
002G25-E,Growth,Low,10519
002G2B-E,Growth,Very Low,1322
002G2M-E,,,NULL
002G44-E,Growth,Very Low,1202
002G4S-E,GARP,Very Low,697
002G53-E,GARP,Low,10893
002G5X-E,Value,Medium,42442
002G63-E,Value,Very Low,527
002G64-E,,,1271
002G69-E,,,NULL
002G6D-E,Yield,Very Low,11525
002G6N-E,,,NULL
002G6T-E,,,NULL
002G6V-E,,,NULL
002G71-E,,,260
002G76-E,GARP,Low,347
002G77-E,Growth,Very Low,546
002G7F-E,Growth,Very Low,NULL
002G7V-E,Growth,Very Low,339
002G84-E,Growth,Very Low,1421
002G8B-E,,,NULL
002G8C-E,,,NULL
002G8H-E,Value,Very Low,1343
002G8M-E,,,NULL
002G8N-E,Growth,Low,10074
002G8T-E,,,NULL
002G95-E,Growth,High,NULL
002G97-E,,,NULL
002G98-E,,,12590
