factset_entity_id,name,ManagerStyle,InstitutionFixedStyle
0BT5CB-E,Ouro Preto Gestao de Recursos Ltda.,NULL,GARP
0DBPZL-E,Sozo Ventures LLC,NULL,
0DBXBW-E,HCS Beteiligungsgesellschaft mbH,NULL,
0DC4J0-E,Numerus Partners LLC,NULL,
0DC4QT-E,Spanos Barber Jesse & Co. LLC,NULL,
0DC98P-E,Mpartners B.V.,NULL,
0DCGC5-E,REVIC Capital KK,NULL,
0DCH73-E,Institut fur Hohere Studien,NULL,
0DCKDC-E,"Insight Securities, Inc.",NULL,
0FFJV6-E,Schroder & Co Bank AG (Private Banking),NULL,GARP
0FFMVG-E,Black Sheep Capital Pty Ltd.,NULL,
0FG2HP-E,"Moonshots Capital, LLC",NULL,
0FGDCM-E,BC General Partner LLC,NULL,
0GBCLJ-E,"Union Bancaire Privee, UBP SA (Hong Kong)",NULL,
0GBN9P-E,Rolling Stream LLC,NULL,
0GBSX5-E,MG Finance SA,NULL,
0GBVFX-E,Coram Asset Management Ltd.,NULL,
0GBZVF-E,Castlebay Investment Partners LLP,NULL,
0HF66J-E,Enture Smart Business,NULL,
0HF942-E,Gsb Impact Fund (Venture Capital),NULL,
0HFL2Q-E,District 5 Investments LP,NULL,
0JD1LN-E,Continuous Capital LLC,NULL,
0KD7VC-E,Angel Fund Japan LLC,NULL,
0KDXNT-E,daaimon Holdings Ltd.,NULL,
0072LP-E,"Kim Eng Securities USA, Inc.",NULL,
007J84-E,"Independent Portfolio Consultants, Inc.",NULL,GARP
007LG3-E,Seymour Pierce Ltd.,NULL,
007S5X-E,Grove Creek Asset Management LLC,NULL,
062RJR-E,Alki Capital Management LLC,NULL,
062XZ4-E,Weatherly Financial Group LLC,NULL,
0630XC-E,Korea First Venture Capital Corp.,NULL,
063402-E,Quadrant International Management (IOM) Ltd.,NULL,
06348Q-E,Rokin Asset Management Co. Ltd.,NULL,
063652-E,Exeter Capital Partners,NULL,
06397F-E,Bank of Ireland Asset Management (UK) Ltd.,NULL,
063KFP-E,Baring Private Equity Partners India Pvt Ltd.,NULL,
063P87-E,Brockhaus Private Equity GmbH,NULL,
063ZQ5-E,Atout Capital Equities SARL,NULL,
0641R4-E,Company Forecast,NULL,
0641RL-E,CGM Intermediation,NULL,
0644FY-E,Larrain Vial SA Corredora de Bolsa,NULL,
09NWXF-E,"Chieftain Capital Management, Inc.",NULL,GARP
09NXFY-E,The TLP Group LLC,NULL,GARP
09PB0R-E,Value Partners (Ventures),NULL,
09PP24-E,"Smith Capital Management, Inc.",NULL,Yield
09Q073-E,Guard Hill Holdings LLC,NULL,
0C6NY3-E,Janus Henderson Investors (Japan) Ltd.,NULL,
0C6VT5-E,Avitah Capital LLP,NULL,
0C6YJJ-E,Ocean Capital Management Ltd.,NULL,
0C6Z1G-E,Evrofinance Mosnarbank JSC (Broker),NULL,
0C717Q-E,VT Wealth Management AG,NULL,
0C765N-E,Wing Fung Securities Ltd.,NULL,
0C78ZK-E,CBRE Global Investors (UK Funds) Ltd.,NULL,GARP
0C7F55-E,M&B Capital Advisers Sociedad de Valores SA (Invt Mgmt),NULL,
0C7FN4-E,Zenit Asset Management LLP,NULL,
0C7GJW-E,Laurel Wealth Advisors LLC,NULL,
0C7MVH-E,Initial Capital Ltd.,NULL,
0C7NM9-E,"Elite Wealth Management, Inc. (Washington)",NULL,
0C7SB2-E,BCJ Capital Management LLC,NULL,GARP
