FactSet Entity ID,Institution_name,Discrepancy_Column
05G7NS-E,Robeco Institutional Asset Management BV,Incorrect: turnover 
05J8DZ-E,"Trustmark Investment Advisors, Inc.",Incorrect: eaum 
007QNN-E,North Star Investment Management Corp.,
07L816-E,"Cornerstone Advisors, Inc. (Washington)",
0C7CKD-E,"Investacorp Advisory Services, Inc.",
06QGFW-E,Morgan Stanley (Strategic Investments),
002SZ7-E,EARNEST Partners LLC,
0DDYN0-E,GraubÌ_ndner Kantonalbank (Private Banking),Incorrect: eaum 
074HXR-E,IST Investmentstiftung,Incorrect: eaum 
0G5J3K-E,Front Row Advisors LLC,
06778N-E,FSC Securities Corp.,
0FJ7W0-E,Bronfman E.L. Rothschild LP,
0JRVH3-E,Rockefeller & Co. LLC,
0JXR0C-E,Truvestments Capital LLC,Incorrect: eaum 
07KRZF-E,"Desjardins Global Asset Management, Inc.",Incorrect: eaum 
003RX9-E,"KMS Financial Services, Inc.",
0B6N4L-E,"The Tarbox Family Office, Inc.",
0C884R-E,FinTrust Capital Advisors LLC,
0068TW-E,"Century Securities Associates, Inc.",
0BQDKZ-E,Investors Research Corp.,
003JQW-E,Trust Company of Vermont,
0HHNWS-E,Weaver Consulting Group LLC,Incorrect: style 
0B6Z6F-E,Valeo Financial Advisors LLC,
0GL982-E,Bogart Wealth LLC,
0B7VGR-E,WealthStone Family Office LLC,
0GF0NT-E,PRW Wealth Management LLC,
06NCYP-E,BerganKDV Wealth Management LLC,
00D703-E,Parallax Volatility Advisers LP,
