,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
3659,Welch Capital Partners LLC,1990.0,0.2756548,Welch Capital Partners LLC,1990,266580.0,0,3.35,,
3660,Abundance Wealth Counselors LLC,1985.0,0.27496220000000005,Abundance Wealth Counselors LLC,1985,265911.0,0,3.35,,
3661,Opes Wealth Management LLC,1972.0,0.27316144,Opes Wealth Management LLC,1972,264169.0,0,3.35,,
3662,Conservest Capital Advisors Inc,1971.0,0.27302292,"Conservest Capital Advisors, Inc.",1971,264035.0,0,3.35,,
3663,Martin Investment Management LLC,1971.0,0.27302292,"Martin & Co., Inc.",57384,7687161.0,-186.72,-186.28,,
3664,Degroof Petercam S.G.I.I.C,1971.0,0.27302292,Degroof Pertercam SGIIC SA,2030,239494.0,-2.95,13.08,,
3665,Black Diamond Financial LLC,1969.0,0.27274588,Black Diamond Financial LLC,1969,263767.0,0,3.35,,
3666,Glacier Peak Capital LLC,1957.0,0.27108364,Glacier Peak Capital LLC,1957,262160.0,0,3.35,,
3667,Creative Financial Designs Inc.,1953.0,0.27052956,"Creative Financial Designs, Inc.",1953,261624.0,0,3.35,,
3668,Lumbard & Kellner LLC,1950.0,0.27011399999999997,Lumbard & Kellner LLC,1950,261222.0,0,3.35,,
3669,Syntax Advisors LLC,1948.0,0.26983696,"Advisors Asset Management, Inc.",1009159,135186940.0,-199.23,-199.2,,
3670,Integrys Wealth Advisors LLC,1935.0,0.2680362,"Advisors Asset Management, Inc.",1009159,135186940.0,-199.23,-199.21,,
3671,Mediobanca SGR SpA,1913.0,0.26498876,Mediobanca SGR SpA,1913,194303.0,0,30.78,,
3672,CenterStar Asset Management LLC,1886.0,0.26124872,Centerstar Asset Management LLC,1886,252649.0,0,3.35,,
3673,Vermogensanlage Altbayern AG,1880.0,0.26041759999999997,Vermögensanlage AltBayern AG,1880,221727.0,0,16.05,,
3674,CKW Financial Group LLC,1880.0,0.26041759999999997,CKW Financial Group LLC,1880,251845.0,0,3.35,,
3675,TPG Financial Advisors LLC,1875.0,0.259725,The Financial Advisors LLC,20452,2739750.0,-166.41,-165.36,,
3676,Kopp Investment Advisors LLC,1868.0,0.25875536,Kopp Investment Advisors LLC,1868,250237.0,0,3.35,,
3677,Rice Hall James & Associates LLC,1850.0,0.256262,"Rice, Hall, James & Associates LLC",1850,247826.0,0,3.35,,
3678,MC Vermögensmanagement AG,1850.0,0.256262,MC Vermögensmanagement AG,1850,247826.0,0,3.35,,
3679,O'Brien Wealth Partners LLC,1846.0,0.25570792,O'Brien Wealth Partners LLC,1846,247290.0,0,3.35,,
3680,HAC VermoegensManagement AG,1810.0,0.2507212,MC Vermögensmanagement AG,1850,247826.0,-2.19,1.16,,
3681,Barometer Investment Management Ltd.,1808.0,0.25044416,"Barometer Capital Management, Inc.",112160,15024954.0,-193.65,-193.44,,
3682,Cooke & Bieler L.P.,1800.0,0.249336,Cooke & Bieler LP,1800,241128.0,0,3.35,,
3683,Letko Brosseau & Associates Inc.,1800.0,0.249336,"Letko, Brosseau & Associates Inc.",1800,241128.0,0,3.35,,
3684,MAV Vermoegensverwaltung GmbH,1800.0,0.249336,MAV Vermögensverwaltung GmbH,1800,212292.0,0,16.05,,
3685,Management Co. UralSib (CJSC),1800.0,0.249336,JS Capital Management LLC,247000,33088120.0,-197.11,-197.01,,
3686,McAdam LLC,1783.0,0.24698116,McAdam LLC,1783,238851.0,0,3.35,,
3687,Towerpoint Wealth LLC,1783.0,0.24698116,TowerPoint Wealth LLC,1783,238851.0,0,3.35,,
3688,Ballew Advisors Inc,1773.0,0.24559596,"Ballew Advisor, Inc.",1773,237511.0,0,3.35,,
3689,Graybill Bartz & Associates Ltd.,1767.0,0.24476484,Graybill Bartz Associates Ltd.,1767,236707.0,0,3.35,,
3690,Total Investment Management Inc.,1751.0,0.24254852,"Total Investment Management, Inc.",1751,234564.0,0,3.35,,
3691,Bank of China Investment Management Co. Ltd.,1750.0,0.24241,"Bank of China Investment Management Co., Ltd.",1750,177748.0,0,30.78,,
3692,Litman Gregory Asset Management LLC,1748.0,0.24213296,Litman Gregory Asset Management LLC,1748,234162.0,0,3.35,,
3693,Charter Research & Investment Group Inc.,1748.0,0.24213296,"Charter Research & Investment Group, Inc.",1748,234162.0,0,3.35,,
3694,Riverpoint Wealth Management Holdings LLC,1733.0,0.24005516,Riverpoint Wealth Management Holdings LLC,1733,232153.0,0,3.35,,
