FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
072XMR-E,GuardCap Asset Management Ltd.,
073403-E,HS Management Partners LLC,
05H00X-E,HSBC Global Asset Management (Canada) Ltd.,
0D6ST5-E,Hosking Partners LLP,
0684JQ-E,Invus Public Equities Advisors LLC,
0H042R-E,Jordan Park Group LLC,
0C17X6-E,Kiltearn Partners LLP,
000P8M-E,"Lord, Abbett & Co. LLC",
066BY9-E,Lyxor Asset Management SAS,
0DKM72-E,Michigan Department of Treasury (Investment Management),
05K8LL-E,Millburn Ridgefield Corp.,
00367N-E,Miller Value Partners LLC,
0C3RQJ-E,Momentum Asset Management Pty Ltd.,
0CQD0W-E,Montag & Caldwell LLC,
05VRRL-E,Morant Wright Management Ltd.,
0B0TWH-E,Motilal Oswal Asset Management Co. Ltd.,
002H3S-E,"Nomura Asset Management Co., Ltd.",
002FRN-E,Oakmont Corp.,
06H10T-E,Oldfield Partners LLP,
000F6K-E,"Omega Advisors, Inc.",
05M9DN-E,Packer & Co. Ltd.,
05K91T-E,Pareto Asset Management AS,
0084HS-E,ProShare Advisors LLC,
05FWFG-E,Rathbone Unit Trust Management Ltd.,
0D8QQB-E,"Raymond James Financial Services Advisors, Inc.",
0606NV-E,Resolution Capital Ltd.,
05HNL1-E,State Street Global Advisors France SA,
005GB2-E,Tesuji Partners LLC,
002JYR-E,The Haverford Trust Co.,
002GVY-E,"Thrivent Investment Management, Inc.",
067BN5-E,Tilney Investment Management Services Ltd.,Discrepancy: turnover 
0CSJB1-E,USS Investment Management Ltd.,
05J24Y-E,WWK Investment SA,
05HCR0-E,1832 Asset Management LP,
0G10MK-E,AURETAS family trust GmbH,
05WFV9-E,Aditya Birla Sun Life Insurance Co. Ltd.,
09X83T-E,Alphinity Investment Management Pty Ltd.,
05F2TR-E,Blackstone Corporate Private Equity,
0BYRGS-E,CBRE Clarion Securities LLC,
002YBS-E,Capital Counsel LLC,
002H99-E,"Check Capital Management, Inc.",
05QPVM-E,"China Asset Management Co., Ltd.",
05Q47Z-E,Comgest Far East Ltd.,
0088SD-E,Cullen Capital Management LLC,
05SG6R-E,Daiwa Asset Management Co. Ltd.,
002KQD-E,Davenport & Co. LLC,
05MX1B-E,Dragon Capital Management Co. Ltd.,
002SZ7-E,EARNEST Partners LLC,
05G4L2-E,Fideuram Investimenti SGR SpA,
05HMYF-E,Folketrygdfondet,
0735Y5-E,International Value Advisers LLC,
05G31Z-E,Investec Asset Management Ltd.,
07N61S-E,KBC Asset Management SA,
05GSFD-E,KLP Kapitalforvaltning AS,
08GD59-E,Mediolanum Asset Management Ltd.,
0DLJ19-E,Mizuho Bank Ltd. (Private Banking),
06QBDB-E,Mn Services Vermogensbeheer BV,
000RBG-E,"Nicholas Co., Inc.",
001X1H-E,"Private Management Group, Inc.",
05G3L9-E,Raiffeisen Kapitalanlage-Gesellschaft mbH,
00B7JP-E,Railway Pension Investments Ltd.,
001PRH-E,Royce & Associates LP,
006LK6-E,SCS Capital Management LLC,
06CN9W-E,Satrix Managers (RF) Pty Ltd.,
05GH73-E,Saturna Capital Corp.,
05FWJ8-E,Schroder Investment Management (Hong Kong) Ltd.,
0DLGLZ-E,Scotia Inverlat Casa de Bolsa SA de CV (Investment Management),
05VXVB-E,"Shinkin Asset Management Co., Ltd.",Discrepancy: aum 
05W9CN-E,Shiozumi Asset Management Co. Ltd.,
008F0Y-E,Stonebridge Advisors LLC,
06FMJ8-E,Stonehage Fleming Investment Management Ltd.,
05ZYFF-E,T. Rowe Price International Ltd. (Japan),
05TN5C-E,"TMB Asset Management Co., Ltd.",
002HFK-E,The Dow Chemical Co. Pension Fund,
0D8K7R-E,Towers Watson Investment Management Ltd.,
05G5BQ-E,UBS Asset Management (Singapore) Ltd.,
001PKW-E,"Wasatch Advisors, Inc.",
0GXBHN-E,Woodford Investment Management Ltd.,
05V81C-E,ACTIAM NV,
05DYPD-E,"AGF Investments, Inc.",
05HP6D-E,AMP Capital Investors Ltd.,
002LLQ-E,Acadian Asset Management LLC,Discrepancy: turnover 
06LPCY-E,Allianz Suisse Versicherungs-Gesellschaft AG,
08B3YW-E,Amitim Senior Pension Funds,
0FNFL0-E,Antipodes Partners Ltd.,
0DZ7ZM-E,Aristotle Capital Boston LLC,
06T9G9-E,Atlanticomnium SA,
0DK3L3-E,Australian Foundation Investment Co. Ltd. (Invt Mgmt),
001Y7Z-E,"Becker Capital Management, Inc.",
0CVX5Y-E,"BlackRock Capital Management, Inc.",
06PMGQ-E,BlackRock Investment Management (Australia) Ltd.,
00CQY0-E,BlackRock México Operadora SA de CV SOFI,
05HLLV-E,Caixabank Asset Management SGIIC SA,
060K8R-E,Calamos Advisors LLC,
05HPFF-E,Canada Pension Plan Investment Board,
05Q0M6-E,"Cardinal Capital Management, Inc.",
05GRNK-E,"ClearArc Capital, Inc.",
05J6Y6-E,Commerce Bank (Investment Management),
06126X-E,Cornelian Asset Managers Ltd.,
006F31-E,DWS International GmbH,
001XT4-E,"DWS Investment Management Americas, Inc.",
001LWP-E,Everett Harris & Co.,
002HKC-E,Fairholme Capital Management LLC,
06D7ZW-E,"Fidelity National Financial, Inc. (Investment Management)",
0C8L2V-E,"Giverny Capital, Inc.",
05HF0J-E,"Greystone Managed Investments, Inc.",
000VD2-E,"HSBC Global Asset Management (USA), Inc.",Discrepancy: turnover 
003XVC-E,Hahn Capital Management LLC,
07HQ1Z-E,HighTower Advisors LLC,
00DLS5-E,Krane Funds Advisors LLC,
000P57-E,"Lilly Endowment, Inc.",
09X3QH-E,"MD Financial Management, Inc.",
001150-E,Manning & Napier Advisors LLC,
05F6G5-E,Matthews International Capital Management LLC,
061WXY-E,"Mitsubishi UFJ Financial Group, Inc.",
00BYT4-E,Montanaro Asset Management Ltd.,
