contact_id,factset_person_id,discrepancy
57d38c6b91aea376a7b728d9,05SZ6Z-E,
57d38c5b91aea376a7b6f26b,05GXDB-E, --- [0] value 
,,
57d38c9b91aea376a7b80b79,07JNT2-E,
,,
57d38c6291aea376a7b6fe0c,05JZ2R-E, --- [0] value  --- [0] value 
57d38c6a91aea376a7b72017,05QF1V-E,
57d38c8e91aea376a7b7e135,0761LY-E,
,0JS8VR-E,
5b364a6a5a83dcea43ac51c1,0JQ351-E,
57d38c8491aea376a7b7a807,06TM0R-E,
,,
5a724d145890ddad1f40f753,0HYSBQ-E,
57d38c6c91aea376a7b732d8,05XFW6-E,
57d38c7491aea376a7b756f1,067DVG-E,
57d38cd091aea376a7b91a26,0DDNFF-E,
57d38cfd91aea376a7b9f9a6,0GHFVH-E,
57d38c6591aea376a7b71dd0,05PZZ6-E, --- [0] value  --- [0] value 
57d38ca491aea376a7b83f59,09KHM2-E,
5a909e8b9fca31fae2ae2eab,0J34QT-E,
57d38c6391aea376a7b70987,05KPNX-E,
,,
57d38c6291aea376a7b6fe35,05K0P8-E,
5a909d719fca31fae2ad1983,0J34QL-E,
57d38c6591aea376a7b71829,05MTW8-E,
,,
57d38c6391aea376a7b70979,05KPLZ-E,
57d38ce091aea376a7b961f9,0FDR8W-E,
,09TJCZ-E,
57d38c7591aea376a7b7622f,06CGDH-E,
57d38ccd91aea376a7b8f648,0D0N29-E,
57d38c7391aea376a7b75232,06CDQX-E,
57d38c6591aea376a7b71853,05MW86-E,
57d38c5991aea376a7b6dd63,05L4CL-E,
,09H15S-E,
5a7e29735890ddad1f46e195,05KQFB-E,
57d38c7591aea376a7b76c70,06G19T-E,
57d38ce691aea376a7b97519,0FPB7R-E,
57d38cb691aea376a7b89790,0BY4FN-E,
59387b2de7402ac1b91c103f,0H340S-E,
5840049426fee671a08ba9d2,0GP1DD-E,
57d38ca591aea376a7b84fce,09THX6-E,
,,
57d38ce691aea376a7b97b18,0FRJR1-E,
,06CR7X-E,
57d38cd591aea376a7b91ee6,0DG0DJ-E,
5bed99567d6aa8cc089b7fd6,09XHNQ-E,
57d38cfb91aea376a7b9e38c,0GFCLQ-E,
,,
57d38cb391aea376a7b87f99,0BJPMY-E,
,,
57d38ca691aea376a7b85118,09VFDV-E,
